,Заказ,Сообщение,МВЗ,Описание,Номер адреса,Дата изменения,Время изменения,ОснСредство,Субномер,СостПослеМеропр,СостПрУсПслНеис,СостПрУсДоНеисп,Отв. раб.место,Завод РабМесто,Вид приоритета,Воздействие,Монтажный узел,Название узла,ПроизвУчасток,СоответЕдОборуд,Ссылочная дата,Ссылочное время,Ссыл. дата кл.,Ссылка клиента,СоотвТехМесто,БЕ,Город,Район,Страна,ДатаТехКонтроля,ДанныеУстройств,Поле сортировки,Время создания,Бизнес-сфера,Вид работы ТОРО,Мстплж/Контир,Подробный текст,ГрупПлановик,ТехКонтроль,Планир. завод,ТоргДокумент,Позиция,КЕ,Текст кода код.,ТекстГруппКодов,Клиент,Название,Материал,Единица,Помещение,Время сообщения,Имя списка,Номер объекта,СтатСтранОбмена,ОбозначИсполнит,ОбозначИсполнит.1,Исполнитель,Исполнитель.1,Описание.1,Почтовый индекс,Приоритет,Приоритет.1,Кодирование,Дата закрытия,Дата сообщ.,ГрупКодов,Автор сообщения,Время закрытия,Каталог/КодТОРО,Регион,Ревизия,Серийный номер,Сектор,Местоположение,Улица,ЗаводРасплТехОб,Телефон,Завод РабМеста,Заказ клиента,ДоступПслМеропр,ДоступнПслНеисп,ДоступнДоНеиспр,Отдел сбыта,Группа сбыта,СбытовОрганизац,Канал сбыта,Валюта,ПозПредупрТОРО,ПланПредупрТОРО,Полном. на изм.,Логич. система,Лог. система,ИндНаличПрикрДокум,БазисОкнч Заказ ТОРО,БазисНач Заказ ТОРО,КраткТекст ЗаказТОРО,Название модели,Модель,Дата приемки в экспл,Дата окончания выпол,Время окончания выпо,Отклонение окончания,Класс ЕО,Наименов класса ЕО,Продолжительность пр,Счетчик группы ТК,Группа ТК,Тип ТК,Код части объекта,КодКартиныПоврежд,ГрпКодовЧастейОбъект,ГрпКодовКартПовреж,Часть объекта,Картина повреждения,НазвГрупПричОтказ,НазвГрупЧастОбъект,НазвГрупКартПовр,Код причины отказа,ГрпКодовПричОтказа,Подроб. текст (комм),Время приемки в эксп,ID пересек. сообщен.,Отклонение окончания.1,Дата пуска MES,Время пуска MES,СистСтатус ЗаказТОРО,ПолзСтатус ЗаказТОРО,Вид заказа TOPO,Причина отказа,Корневое ТМ,Название корневого,Описание.2,ПользовСтатус,ПродолжПростоя,Отказ,Вид сообщения,Нач. неисправн.,Нач.неиспр.(вр),Конец неисправ.,Оконч. неиспр.,СистемнСтатус,Создал,Автор изменения,Дата создания,Требуем. начало,ТребВремяНачала,ТребуемЗавершен,ТребВремяОконч,Ед. оборудов.,Техместо
0,1100279812.0,7100282722,1112011420,Экскаватор электрический ЭКГ-10 №02,,2022-01-13,12:00:25,101060000410.0,0.0,,,,C-CEK,1100,PL,,,,,,2022-01-13,12:00:25,,,,1100,,,,,,2,02:23:50,,ТО,1042621,,200.0,,1100,,0,1000,,,,,,Ч,,02:23:49,,QM007100282722,,,,,,Экскаватор электрический №02,,,,,,2020-11-27,,,00:00:00,E0302000,,,,,11050409.0,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-01-25,2022-01-24,ТО ЭКГ-10 №02,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,,,,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ДЕБЛ KKMP ДМНП ПКАЛ ПРВВ,СГПЛ ГИП  ГОД  МЕС,APP1,,,,ТО ЭКГ-10 №02,,0.0,,A1,2020-11-27,17:21:25,,00:00:00,ЗКПР СОРА,ZAGLUBOTSKSN,TYURINIA,2020-11-27,2022-01-24,00:00:00,2022-01-25,09:00:00,100000062743.0,11-RUD-BLAG-UGBL-E105
1230,1100375638.0,7100376850,1112011420,Экскаватор электрический ЭКГ-10 №22,,,00:00:00,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2021-03-10,06:02:25,,,,1100,,,,,,22,06:02:25,,ТР,1557459,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:02:23,,QM007100376850,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-03-28,2022-03-27,ТР пневмосистемы,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,ТП,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР KKMP ДМНП ПКАЛ,СГГС ГИП  ГОД,APP1,,,,ТР пневмосистемы,,0.0,,A1,,00:00:00,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,,2021-03-10,2022-03-27,09:00:00,2022-03-28,09:00:00,100000061735.0,11-RUD-BLAG-UGBL-E101
1231,1100375640.0,7100376852,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-15,06:24:11,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-15,06:24:11,,,,1100,,,,,,22,06:02:32,,ТР,1557463,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:02:29,,QM007100376852,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-12-05,2022-12-05,ТР рабочего оборудования,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,Р0,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР KKMP ДМНП ПКАЛ,ПЛАН ГИП  ГОД,APP1,,,,ТР рабочего оборудования,,0.0,,A1,2022-01-15,08:38:25,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-12-05,09:00:00,2022-12-05,09:00:36,100000061735.0,11-RUD-BLAG-UGBL-E101
1232,1100375641.0,7100376853,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-15,06:24:16,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-15,06:24:16,,,,1100,,,,,,22,06:02:35,,ТР,1557465,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:02:33,,QM007100376853,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-12-07,2022-12-07,ТР ковша,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,74,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР KKMP ДМНП ПКАЛ,ПЛАН ГИП  ГОД,APP1,,,,ТР ковша,,0.0,,A1,2021-03-10,14:12:53,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-12-07,09:00:00,2022-12-07,09:00:36,100000061735.0,11-RUD-BLAG-UGBL-E101
1233,1100375644.0,7100376855,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-15,06:24:16,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-15,06:24:16,,,,1100,,,,,,22,06:02:43,,ТР,1557470,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:02:39,,QM007100376855,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-12-05,2022-12-01,ТР ходовой части,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,85,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР KKMP ДМНП ПКАЛ,СГГС ГИП  ГОД,APP1,,,,ТР ходовой части,,0.0,,A1,2022-01-15,10:00:53,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-12-01,09:00:00,2022-12-05,09:00:00,100000061735.0,11-RUD-BLAG-UGBL-E101
1234,1100375646.0,7100376856,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-11,05:33:31,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-11,05:33:31,,,,1100,,,,,,22,06:03:49,,ТО1,1557473,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:02:47,,QM007100376856,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-01-06,2022-01-01,Ремонт ходовой ЭКГ-10 №22,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,О1,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ДЕБЛ ДВМА ДМНП ПКАЛ ПРВВ,СГГС ГИП  ГОД  МЕС  НЕД  ПЗТГ СРОЧ УТВМ*,APP1,,,,Техническое обслуживание 1,,0.0,,A1,2021-08-29,07:17:59,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,BUZNIKAV,2021-03-10,2022-01-01,00:00:00,2022-01-06,00:00:00,100000061735.0,11-RUD-BLAG-UGBL-E101
1235,1100375647.0,7100376857,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-14,07:14:05,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-14,07:14:05,,,,1100,,,,,,22,06:03:51,,ТО1,1557476,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:02:49,,QM007100376857,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-04-02,2022-04-01,Техническое обслуживание 1,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,О1,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР ДМНП ПКАЛ,ПЛАН ГИП  ГОД  МТРЦ СРОЧ ТКБЕ УТВП,APP1,,,,Техническое обслуживание 1,,0.0,,A1,,00:00:00,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-04-01,09:00:00,2022-04-02,09:00:00,100000061735.0,11-RUD-BLAG-UGBL-E101
1236,1100375648.0,7100376858,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-15,06:24:16,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-15,06:24:16,,,,1100,,,,,,22,06:03:53,,ТО1,1557478,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:02:51,,QM007100376858,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-08-01,2022-08-01,Техническое обслуживание 1,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,О1,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР ДМНП ПКАЛ,ПЛАН ГИП  ГОД  МТРЦ ТКБЕ УТВП,APP1,,,,Техническое обслуживание 1,,0.0,,A1,2021-12-19,16:34:24,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-08-01,09:00:00,2022-08-01,09:00:36,100000061735.0,11-RUD-BLAG-UGBL-E101
1237,1100375649.0,7100376859,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-14,07:14:16,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-14,07:14:16,,,,1100,,,,,,22,06:03:55,,ТО1,1557480,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:02:53,,QM007100376859,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-03-11,2022-03-10,Техническое обслуживание 1,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,О1,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР ДМНП ПКАЛ,СГГС ГИП  ГОД  МТРЦ СРОЧ ТКБЕ УТВП,APP1,,,,Техническое обслуживание 1,,0.0,,A1,2021-08-29,07:34:47,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-03-10,09:00:00,2022-03-11,09:00:00,100000061735.0,11-RUD-BLAG-UGBL-E101
1238,1100375650.0,7100376860,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-15,06:24:16,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-15,06:24:16,,,,1100,,,,,,22,06:03:58,,ТО1,1557492,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:02:54,,QM007100376860,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-11-13,2022-11-11,Техническое обслуживание 1,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,О1,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР ДМНП ПКАЛ,ПЛАН ГИП  ГОД  МТРЦ ТКБЕ УТВП,APP1,,,,Техническое обслуживание 1,,0.0,,A1,2021-12-19,16:32:40,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-11-11,09:00:00,2022-11-13,09:00:00,100000061735.0,11-RUD-BLAG-UGBL-E101
