,Unnamed: 0,Планир. завод,ГрупПлановик,Сообщение,Вид заказа,Вид работы ТОРО,ВремяРемПростояЗкз,БазисСрокНачала,БазисСрокКонца,Заказ,Ссылочная дата,Ссылочное время,Дата изменения,Рабочее место,Резерв./заявка,Тип заказа,ПроизвУчасток,БЕ,Дата ввода,ПоказанСчетчика,Факт. деблокир.,ФактичСрокКонца,Факт.окончание,Общий расчет,ОбщЗатраты/факт,ОбщЗатраты/план,ЗапланКонец,БазисВремяКонца,Конец: время,Бизнес-сфера,ФактСрокНачала,ЗапланНачало,ФактНчл/Врем,Время начала,Время начала.1,История с,СхемаКальк,ТоргДокумент,Позиция,КЕ,Ответств. МВЗ,Ведущий заказ,Метка удаления,ДатаЗаверш,ЕстьПодробТекст,ВышестоящЗаказ,Базисная ЕИ,Количество,Помещение,Имя списка,Плановая дата,Номер объекта,СписОбъект,ГрПлан/Техкарта,ИндПланирЗаказа,СчтГрупТехкарт,Группа,Почтовый индекс,МВП,Приоритет,СПП-элемент,Регион,Ревизия,Серийный номер,Материал,НазвСервПродукт,СервиснПродукт,Сектор,Сектор - Сбыт,Местоположение,Улица,ЗаводРасплТехОб,ПредварЗатраты,ПользовСтатус,Группа сбыта,СбытовОрганизац,СбытовОрганизац - Сб,ВышестОперация,Канал сбыта,Канал сбыта - Сбыт,Валюта,ПозПредупрТОРО,ПланПредупрТОРО,Завод,Код надбавки,Ид. причины,Причина корр-ки,ИндНаличПрикрДокум,ИмеютсяНеСоглЗапросы,ПериодРемCAPEX(мес),Класс ЕО,ПрочиеФакт,ПрочиеПлан,БюджетФактИтог,БюджетПланИтог,МТР ФактИтог,МТР ПланИтог,Стоимость новой ЕО,ТЗРФакт,ТЗРПлан,ОбщееВремяПростояЗкз,ОборудованиеНаГарант,Инд. статуса «ФИКС»,Отв. сотрудн. таб. №,НаименованиеКлассаЕО,МТРподр,НеобходимНарядДопуск,СтатВыдачиРазрешений,СистСтатСообщТОРО,КапитализирРемонт,Исходная стоимость,Дефицит,Требуемая стоимость,СППДефицит,%СтоимРемФСтоимНовЕО,%СтоимРемПСтоимНовЕО,СистСтатус,ВремяРемПростояТК,ОбщееВремяПростояТК,ВремяТехнПростояТК,Заказано УСО,Описание,Краткий текст,СистемнСтатус,Отв. сотрудник ФИО,ПользСтатус,ОбщСумма (План),ОбщаяСумма(Фкт),ФОТПлан,ФОТФакт,МатериалыПлан,МатериалыФакт,ЗапчастиПлан,ЗапчастиФакт,УСОПоРемонтуПлан,УСОПоРемонтуФакт,Ед. оборудов.,Техместо,Описание.1,СПП-ЗаголЗаказа,Отв. раб.место,МВЗ,ВремяТехнПростояЗкз,Фактический простой,Принято УСО,ПредвЗарегистрирУСО,user_status,utvg,tkbe,utvm
22172,22172,1100,100.0,7100379867.0,APP1,ТО1,1.24,2022-01-01,2022-01-01,1100378887,2022-01-02,21:23:28,2022-01-02,11020058.0,3,30,,1100,2021-03-24,,2021-09-30,2022-01-01,05:59:24,0,19727.12,22193.98,2022-01-01,05:59:00,05:59:24,,2022-01-01,2022-01-01,04:45:00,04:45:00,04:45:00,,PP-PC1,,0,1000,,,,2022-01-02,,,,0,7386.0,,2022-03-10,OR001100378887,494 868,100.0,1.0,О1,A0003985,,ZZ00005000,3.0,,,,,,,,,,,,1105,0,СГГС ГИП  ГОД  МЕС  МТРЦ ПЗТГ СРОЧ ТКБЕ*,,,,,,,RUB,159076.0,100000058469.0,1100,,,,,,0,E01_01,0,0,9513.31,11980.17,9513.31,11980.17,13208175.58,0.0,0,1.24,,,,Самосвалы карьерные,,,0. Разрешений нет,СОЗА ЗКПР ВСМИ,,0.0,0.0,0.0,,0,0,ТЗКР ПДТВ ПКАЛ ПРВВ ДВМА ДМНП JBFI,13.3,13.3,0,0.0,Самосвал карьерный БЕЛАЗ-7540К №58,Техническое обслуживание 1,ТЗКР ПДТВ JBFI ДВМА ДМНП ПКАЛ ПРВВ,,СГГС ГОД УТВГ УТВП МЕС УТВМ ГИП СРОЧ МТРЦ ТКБЕ ПЗТГ,22193.98,19727.12,10213.81,10213.81,8773.07,5951.08,3207.1,3562.23,0.0,0.0,100000065588.0,11-RUD-CGTR-SEBT-BE13,Самосвал карьерный №58,LT-1100-2022-2-012-02,C-CRGTOV,1113011520,0,1.24,0.0,0.0,"['СГГС', 'ГИП', '', 'ГОД', '', 'МЕС', '', 'МТРЦ', 'ПЗТГ', 'СРОЧ', 'ТКБЕ*']",0,1,0
29559,29559,1100,100.0,7100439930.0,APP1,ТР,744.0,2022-01-01,2022-02-01,1100439634,2022-01-01,09:00:00,2022-01-16,39320802.0,2,30,,1100,2021-05-18,,,,00:00:00,0,0.0,0.0,2022-01-02,09:00:00,20:00:00,,,2022-01-01,00:00:00,09:00:00,09:00:00,,PP-PC1,,0,1000,,,,,,,,0,7798.0,,2022-01-09,OR001100439634,578 607,100.0,1.0,ТР,A0004088,,,3.0,,,,,,,,,,,,1105,0,ПЛАН ГИП  ГОД  КОРР МЕС  ТКБЕ УТВМ УТВН*,,,,,,,RUB,164311.0,100000061551.0,1100,,,,,,0,E05_01,0,0,0.0,0.0,0.0,0.0,6838017.68,0.0,0,744.0,,,,Бульдозеры колесные,,,0. Разрешений нет,СОРА ЗКПР,,0.0,0.0,0.0,,0,0,ОТКР ПКАЛ ДМНП KKMP,35.0,35.0,0,0.0,Бульдозер К-702МБА-01-БКУ №802,ТР бульдозера К702,ОТКР KKMP ДМНП ПКАЛ,,ПЛАН ГОД УТВП МЕС УТВМ УТВН ГИП КОРР ТКБЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000065955.0,11-RUD-CGTR-SETT-UDOT-BZ20,Бульдозер колесный №802,LT-1100-2022-2-010-02,C-OGM,1114021123,0,0.0,0.0,0.0,"['ПЛАН', 'ГИП', '', 'ГОД', '', 'КОРР', 'МЕС', '', 'ТКБЕ', 'УТВМ', 'УТВН*']",0,1,1
3528,3528,1100,100.0,7100379669.0,APP1,ТО5,19.1,2022-01-01,2022-01-02,1100378669,2021-12-06,11:18:51,2021-12-06,11220152.0,3,30,,1100,2021-03-24,,2021-10-27,,00:00:00,0,0.0,289382.28,2022-01-01,04:06:00,20:00:00,,,2022-01-01,00:00:00,09:00:00,09:00:00,,PP-PC1,,0,1000,,,X,2021-12-06,,,,0,211738.0,,2022-01-01,OR001100378669,494 714,100.0,1.0,О5,A0003598,,,3.0,,,,,,,,,,,,1105,0,СГГС ГИП  ГОД  МТРЦ СРОЧ ТКБЕ УТВП,,,,,,,RUB,152376.0,100000054997.0,1100,,,,,,13,E01_01,0,0,0.0,126812.42,0.0,126812.42,32189879.34,0.0,0,19.1,,,,Самосвалы карьерные,,,0. Разрешений нет,СОЗА ЗКПР МТКУ,,0.0,0.0,0.0,,0,1,ЗАКР ПКАЛ ПРВВ МТКУ ДМНП,19.1,19.1,0,0.0,Самосвал карьерный 777E №152,Техническое обслуживание 5,ЗАКР ДМНП МТКУ ПКАЛ ПРВВ,,СГГС ГОД УТВП ГИП СРОЧ МТРЦ ТКБЕ,289382.28,0.0,162569.86,0.0,27604.22,0.0,99208.2,0.0,0.0,0.0,100000036242.0,11-RUD-CGTR-SEBT-CE03,Самосвал карьерный №152,LT-1100-2022-2-012-02,C-OGM,1113011120,0,0.0,0.0,0.0,"['СГГС', 'ГИП', '', 'ГОД', '', 'МТРЦ', 'СРОЧ', 'ТКБЕ', 'УТВП']",0,1,0
4606,4606,1100,100.0,7100287594.0,APP1,КР,52.0,2022-01-01,2022-01-03,1100284684,2022-01-01,23:59:59,2022-01-21,,3,30,,1100,2020-11-27,,2021-11-04,,00:00:00,0,0.0,4916437.94,2022-01-02,04:00:00,20:00:00,,,2022-01-01,00:00:00,00:00:00,08:00:00,,PP-PC1,,0,1000,,,,,,,,0,215581.0,,,OR001100284684,360 663,,1.0,,,,,,,,,,,,,,,,,1105,0,СГГС КРМТ МТРЦ СРОЧ УТВГ,,,,,,,RUB,,,1100,,,,,,30,S00,0,0,0.0,4473839.42,0.0,4473839.42,0.0,0.0,0,52.0,,,,Узлы,,,0. Разрешений нет,СОРА ЗКПР,X,0.0,0.0,0.0,,0,0,ДЕБЛ ПКАЛ ПРВВ ОШОЗ НКС ДМНП,0.0,0.0,0,0.0,Коробка передач 2BE04946,785C хоз. №426 - Ремонт КПП  по ДВ,ДЕБЛ ДМНП НКС  ОШОЗ ПКАЛ ПРВВ,,СГГС УТВГ СРОЧ МТРЦ КРМТ,4916437.94,0.0,442598.52,0.0,1288.22,0.0,4472551.2,0.0,0.0,0.0,100000038789.0,11-RUD-CGTR-SEBT-CC25,Самосвал карьерный №426,LT-1100-2022-2-012-01-03,C-OGM,1113071123,0,0.0,0.0,0.0,"['СГГС', 'КРМТ', 'МТРЦ', 'СРОЧ', 'УТВГ']",1,0,0
24953,24953,1100,100.0,7100379551.0,APP1,ТО1,4.25,2022-01-01,2022-01-01,1100378551,2021-12-09,06:14:04,2021-12-09,11400524.0,3,30,,1100,2021-03-24,,2021-09-30,,00:00:00,0,0.0,133473.96,2022-01-01,13:15:00,13:15:00,,,2022-01-01,00:00:00,09:00:00,09:00:00,,PP-PC1,,0,1000,,,X,2021-12-09,,,,0,7422.0,,2022-01-01,OR001100378551,494 538,100.0,1.0,О1,A0000001,,,3.0,,,,,,,,,,,,1105,0,СГГС ГИП  ГОД  МТРЦ СРОЧ ТКБЕ УТВП,,,,,,,RUB,159581.0,100000058772.0,1100,,,,,,0,E01_01,0,0,0.0,95172.15,0.0,95172.15,79531121.01,0.0,0,4.25,,,,Самосвалы карьерные,,,0. Разрешений нет,СОЗА ЗКПР МТКУ,,0.0,0.0,0.0,,0,0,ЗАКР ПКАЛ ПРВВ МТКУ ДМНП,4.25,4.25,0,0.0,Самосвал карьерный 785C №524,Техническое обслуживание 1,ЗАКР ДМНП МТКУ ПКАЛ ПРВВ,,СГГС ГОД УТВП ГИП СРОЧ МТРЦ ТКБЕ,133473.96,0.0,38301.81,0.0,44699.65,0.0,50472.5,0.0,0.0,0.0,100000065624.0,11-RUD-CGTR-SEBT-CC72,Самосвал карьерный №524,LT-1100-2022-2-012-02,C-OGM,1113011620,0,0.0,0.0,0.0,"['СГГС', 'ГИП', '', 'ГОД', '', 'МТРЦ', 'СРОЧ', 'ТКБЕ', 'УТВП']",0,1,0
5072,5072,1100,100.0,7100379417.0,APP1,ТО3,26.5,2022-01-01,2022-01-02,1100378397,2021-04-01,06:26:46,2021-04-01,11810747.0,2,30,,1100,2021-03-24,,,,00:00:00,0,0.0,489839.65,2022-01-02,11:30:00,11:30:00,,,2022-01-01,00:00:00,09:00:00,09:00:00,,PP-PC1,,0,1000,,,X,2021-04-01,,,,0,235827.0,,2021-12-18,OR001100378397,494 358,100.0,1.0,О3,A0003596,,,3.0,,,,,,,,,,,,1105,0,ПЛАН МТРН ПЗТГ,,,,,,,RUB,153198.0,100000055331.0,1100,,,,,,0,E01_01,0,0,0.0,489839.65,0.0,489839.65,138121984.13,0.0,0,26.5,,,,Самосвалы карьерные,,,0. Разрешений нет,СОЗА ЗКПР МТКУ,,0.0,0.0,0.0,,0,0,ЗАКР НЕВЫ ПКАЛ МТКУ ДМНП,8.05,8.05,0,0.0,Самосвал карьерный 793D №747,Техническое обслуживание 3,ЗАКР ДМНП МТКУ НЕВЫ ПКАЛ,,ПЛАН МТРН ПЗТГ,489839.65,0.0,0.0,0.0,231354.8,0.0,258484.85,0.0,0.0,0.0,100000054846.0,11-RUD-CGTR-SEBT-CD46,Самосвал карьерный №747,LT-1100-2022-2-012-02,C-OGM,1113011920,0,0.0,0.0,0.0,"['ПЛАН', 'МТРН', 'ПЗТГ']",0,0,0
4885,4885,1100,100.0,7100328891.0,APP1,КР,31.7,2022-01-01,2022-01-02,1100325982,2022-01-01,23:59:59,2021-12-13,,2,30,,1100,2020-11-30,,,,00:00:00,0,0.0,6037654.0,2022-01-01,07:42:00,00:00:00,,,2022-01-01,00:00:00,00:00:00,00:00:00,,PP-PC1,,0,1000,,,,,,,,0,216585.0,,,OR001100325982,403 222,,1.0,,,,,,,,,,,,,,,,,1105,0,СГГС ГИП  ГОД  КРМТ МТРЦ ТКБЕ УТВГ УТВП,,,,,,,RUB,,,1100,,,,,,30,S00,0,0,0.0,6037654.0,0.0,0.0,17682811.74,0.0,0,31.7,,,,Узлы,,,0. Разрешений нет,СОРА ЗКПР,X,0.0,0.0,0.0,,0,34,ОТКР ПКАЛ ДМНП,0.0,0.0,0,0.0,Редуктор бортовой правый,Кбр Самосвал CAT 793D №731,ОТКР ДМНП ПКАЛ,,СГГС ГОД УТВГ УТВП ГИП МТРЦ ТКБЕ КРМТ,6037654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6037654.0,0.0,100000039527.0,11-RUD-CGTR-SEBT-CD30,Самосвал карьерный №731,LT-1100-2022-2-012-01-03,C-OGM,1113011920,0,0.0,0.0,0.0,"['СГГС', 'ГИП', '', 'ГОД', '', 'КРМТ', 'МТРЦ', 'ТКБЕ', 'УТВГ', 'УТВП']",1,1,0
4576,4576,1100,100.0,7100328894.0,APP1,КР,19.7,2022-01-01,2022-01-01,1100325985,2022-01-01,23:59:59,2021-12-13,,2,30,,1100,2020-11-30,,,,00:00:00,0,0.0,1676341.0,2022-01-01,19:42:00,00:00:00,,,2022-01-01,00:00:00,00:00:00,00:00:00,,PP-PC1,,0,1000,,,,,,,,0,215487.0,,,OR001100325985,403 225,,1.0,,,,,,,,,,,,,,,,,1105,0,СГГС ГИП  ГОД  КРМТ МТРЦ ТКБЕ УТВГ УТВП,,,,,,,RUB,,,1100,,,,,,30,S00,0,0,0.0,1676341.0,0.0,0.0,28766264.03,0.0,0,19.7,,,,Узлы,,,0. Разрешений нет,СОРА ЗКПР,X,0.0,0.0,0.0,,0,6,ОТКР ПКАЛ ДМНП,0.0,0.0,0,0.0,Дифференциал,Кгп Самосвал CAT 793D №731,ОТКР ДМНП ПКАЛ,,СГГС ГОД УТВГ УТВП ГИП МТРЦ ТКБЕ КРМТ,1676341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1676341.0,0.0,100000038691.0,11-RUD-CGTR-SEBT-CD30,Самосвал карьерный №731,LT-1100-2022-2-012-01-03,C-OGM,1113011920,0,0.0,0.0,0.0,"['СГГС', 'ГИП', '', 'ГОД', '', 'КРМТ', 'МТРЦ', 'ТКБЕ', 'УТВГ', 'УТВП']",1,1,0
8347,8347,1100,800.0,7100463655.0,APP1,ТО2,4.0,2022-01-01,2022-01-01,1100466527,2022-01-03,03:53:03,2022-01-03,,3,30,,1100,2021-07-13,,2022-01-03,2022-01-01,13:00:00,0,7400.84,0.0,2022-01-01,13:00:00,13:00:00,,2022-01-01,2022-01-01,09:00:00,09:00:00,09:00:00,,PP-PC1,,0,1000,1144111223.0,,,2022-01-03,,,,0,261123.0,,2022-01-01,OR001100466527,634 463,100.0,1.0,О2,A0005137,,ZZ00005000,,,,,,,,,,,,,1105,0,СГГС ГИП  ГОД,,,,,,,RUB,165378.0,100000062041.0,1100,,,,,,0,S00,0,0,0.0,0.0,0.0,0.0,10600245.22,0.0,0,4.0,,,,Узлы,,,0. Разрешений нет,СОЗА ЗКПР,,0.0,0.0,0.0,,0,0,ТЗКР ПДТВ ПКАЛ ПРВВ KKMP JBFI,4.0,4.0,0,0.0,Грузоподъемное оборудование,Кран-трубоукладчик №22 (ГПМ) ТО,ТЗКР ПДТВ JBFI KKMP ПКАЛ ПРВВ,,СГГС ГОД ГИП,0.0,7400.84,0.0,7400.84,0.0,0.0,0.0,0.0,0.0,0.0,100000058514.0,11-RUD-CGTR-SETT-UCTT-LF05,Кран-трубоукладчик №22ТР,LT-1100-2022-2-071-02,C-URGPM,1114011523,0,2.0,0.0,0.0,"['СГГС', 'ГИП', '', 'ГОД']",0,0,0
20287,20287,1100,100.0,7100328714.0,APP1,КР,200.0,2022-01-01,2022-01-09,1100325805,2022-01-01,23:59:59,2021-12-30,11810725.0,2,30,,1100,2020-11-30,,,,00:00:00,0,0.0,0.0,2022-01-01,08:00:00,08:00:00,,,2022-01-01,00:00:00,00:00:00,08:00:00,,PP-PC1,,0,1000,,,,,,,,0,7305.0,,,OR001100325805,403 045,,1.0,,,,,,,,,,,,,,,,,1105,0,СГГС ГИП  ГОД  КРМТ НЕД  ПЗТГ УТВГ УТВМ,,,,,,,RUB,,,1100,,,,,,30,E01_01,0,0,0.0,0.0,0.0,0.0,98233985.74,0.0,0,200.0,,,,Самосвалы карьерные,,,0. Разрешений нет,СОРА ЗКПР,X,0.0,0.0,0.0,,0,0,ОТКР ПКАЛ ДМНП KKMP,0.0,0.0,0,0.0,Самосвал карьерный 793D №725,"КсистКгт,Кгп, бр2CAT 793D №725",ОТКР KKMP ДМНП ПКАЛ,,СГГС ГОД УТВГ УТВМ НЕД ГИП КРМТ ПЗТГ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000065540.0,11-RUD-CGTR-SEBT-CD24,Самосвал карьерный №725,LT-1100-2022-2-012-01-03,C-OGM,1113011920,0,0.0,0.0,0.0,"['СГГС', 'ГИП', '', 'ГОД', '', 'КРМТ', 'НЕД', '', 'ПЗТГ', 'УТВГ', 'УТВМ']",1,0,1
