,Unnamed: 0,teh_mesto,Название технического места,level_upper,code,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8
214,214,03-CTT-KM01,Самосвал №1621,03-CTT-K150,first03-CTT-KM01,first03,CTT,KM01,no_data,no_data,no_data,no_data,no_data
220,220,03-CTT-KM02,Самосвал №1622,03-CTT-K150,first03-CTT-KM02,first03,CTT,KM02,no_data,no_data,no_data,no_data,no_data
226,226,03-CTT-KM03,Самосвал №1623,03-CTT-K150,first03-CTT-KM03,first03,CTT,KM03,no_data,no_data,no_data,no_data,no_data
232,232,03-CTT-KM04,Самосвал №1624,03-CTT-K150,first03-CTT-KM04,first03,CTT,KM04,no_data,no_data,no_data,no_data,no_data
238,238,03-CTT-KM05,Самосвал №1625,03-CTT-K150,first03-CTT-KM05,first03,CTT,KM05,no_data,no_data,no_data,no_data,no_data
245,245,03-CTT-KM06,Самосвал №1626,03-CTT-K150,first03-CTT-KM06,first03,CTT,KM06,no_data,no_data,no_data,no_data,no_data
251,251,03-CTT-KM07,Самосвал №1627,03-CTT-K150,first03-CTT-KM07,first03,CTT,KM07,no_data,no_data,no_data,no_data,no_data
257,257,03-CTT-KM08,Самосвал №1628,03-CTT-K150,first03-CTT-KM08,first03,CTT,KM08,no_data,no_data,no_data,no_data,no_data
263,263,03-CTT-KM09,Самосвал №1629,03-CTT-K150,first03-CTT-KM09,first03,CTT,KM09,no_data,no_data,no_data,no_data,no_data
269,269,03-CTT-KM10,Самосвал №1630,03-CTT-K150,first03-CTT-KM10,first03,CTT,KM10,no_data,no_data,no_data,no_data,no_data
