,Unnamed: 0,level_no,Код уровня,code,Наименование
0,0,1,03,first03,АО Полюс Вернинское
1,1,1,11,first11,Олимпиадинский ГОК
2,2,2,RUD,RUD,Рудоуправление
3,3,3,BLAG,BLAG,Карьер Благодатный
4,4,3,VOST,VOST,Карьер Восточный
5,5,3,EKSK,EKSK,Участок экскавации (03-RUD-EKSK)
6,6,3,CGTR,CGTR,Цех горнотранспортный (11-RUD-CGTR)
7,7,4,UGBL,UGBL,Участок горный к.Благодатный 11-RUD-BLAG-UGBL
8,8,4,UGVS,UGVS,Участок горный к.Восточный 11-RUD-VOST-UGVS
9,9,0,03-CTT-K150,03-CTT-K150,Самосвалы Komatsu HD1500-8
